
Invoices Entry :9:26:43 AM Tuesday, July 20, 2021
=====================================================================Invoices=====================================================================================
InvoiceNo  20217944929  | DocDate   7/9/2021 12:41:37 PM  | Currency Code  ZWL  | Customer Number   PR7441524099   |Reference    41102  | SubTotal   8000     |total   $8000  | SalesName   Praz Online Portal    Additional Info   SUPPLIER Part Number  GT002
InvoiceNo  202121030260  | DocDate   7/2/2021 10:01:59 AM  | Currency Code  ZWL  | Customer Number   PR213195350   |Reference    26363  | SubTotal   8000     |total   $8000  | SalesName   Praz Online Portal    Additional Info   SUPPLIER Part Number  SC005
InvoiceNo  202162143892  | DocDate   7/2/2021 9:48:19 AM  | Currency Code  ZWL  | Customer Number   PR26452513129   |Reference    39983  | SubTotal   24000     |total   $24000  | SalesName   Praz Online Portal    Additional Info   SUPPLIER Part Number  SI002
InvoiceNo  202151340910  | DocDate   7/2/2021 9:42:11 AM  | Currency Code  ZWL  | Customer Number   PR1663081275   |Reference    37016  | SubTotal   8000     |total   $8000  | SalesName   Praz Online Portal    Additional Info   SUPPLIER Part Number  GM003
InvoiceNo  202131735281  | DocDate   7/2/2021 9:42:08 AM  | Currency Code  ZWL  | Customer Number   PR1663081275   |Reference    31294  | SubTotal   8000     |total   $8000  | SalesName   Praz Online Portal    Additional Info   SUPPLIER Part Number  GG003
InvoiceNo  202131034426  | DocDate   7/2/2021 9:42:05 AM  | Currency Code  ZWL  | Customer Number   PR1663081275   |Reference    30513  | SubTotal   8000     |total   $8000  | SalesName   Praz Online Portal    Additional Info   SUPPLIER Part Number  GP005
InvoiceNo  20217244576  | DocDate   7/2/2021 9:36:16 AM  | Currency Code  ZWL  | Customer Number   PR3140062200   |Reference    40712  | SubTotal   8000     |total   $8000  | SalesName   Praz Online Portal    Additional Info   SUPPLIER Part Number  GT002
InvoiceNo  20216742779  | DocDate   7/2/2021 9:25:43 AM  | Currency Code  ZWL  | Customer Number   PR79208426211   |Reference    38826  | SubTotal   8000     |total   $8000  | SalesName   Praz Online Portal    Additional Info   SUPPLIER Part Number  GM002
InvoiceNo  202162944426  | DocDate   7/2/2021 9:13:12 AM  | Currency Code  ZWL  | Customer Number   PR7089326946   |Reference    40533  | SubTotal   8000     |total   $8000  | SalesName   Praz Online Portal    Additional Info   SUPPLIER Part Number  GM004
InvoiceNo  20217244571  | DocDate   7/2/2021 9:12:44 AM  | Currency Code  ZWL  | Customer Number   PR1411179379   |Reference    40707  | SubTotal   8000     |total   $8000  | SalesName   Praz Online Portal    Additional Info   SUPPLIER Part Number  SB004
InvoiceNo  20217144528  | DocDate   7/2/2021 9:06:45 AM  | Currency Code  ZWL  | Customer Number   PR21327427014   |Reference    40658  | SubTotal   8000     |total   $8000  | SalesName   Praz Online Portal    Additional Info   SUPPLIER Part Number  SC006
InvoiceNo  202161043120  | DocDate   7/2/2021 9:06:43 AM  | Currency Code  ZWL  | Customer Number   PR31224623059   |Reference    39161  | SubTotal   8000     |total   $8000  | SalesName   Praz Online Portal    Additional Info   SUPPLIER Part Number  SE002
InvoiceNo  20217144501  | DocDate   7/2/2021 9:05:58 AM  | Currency Code  ZWL  | Customer Number   PR8404326236   |Reference    40624  | SubTotal   8000     |total   $8000  | SalesName   Praz Online Portal    Additional Info   SUPPLIER Part Number  SP007
InvoiceNo  202152441801  | DocDate   7/2/2021 8:59:56 AM  | Currency Code  ZWL  | Customer Number   PR20200025582   |Reference    37939  | SubTotal   8000     |total   $8000  | SalesName   Praz Online Portal    Additional Info   SUPPLIER Part Number  SC005
InvoiceNo  20217244567  | DocDate   7/2/2021 8:53:29 AM  | Currency Code  ZWL  | Customer Number   PR56467024056   |Reference    40703  | SubTotal   8000     |total   $8000  | SalesName   Praz Online Portal    Additional Info   SUPPLIER Part Number  GT002
InvoiceNo  20217244554  | DocDate   7/2/2021 8:39:11 AM  | Currency Code  ZWL  | Customer Number   PR385545866   |Reference    40688  | SubTotal   8000     |total   $8000  | SalesName   Praz Online Portal    Additional Info   SUPPLIER Part Number  SC006
InvoiceNo  20217244556  | DocDate   7/2/2021 8:34:20 AM  | Currency Code  ZWL  | Customer Number   PR73238927027   |Reference    40690  | SubTotal   8000     |total   $8000  | SalesName   Praz Online Portal    Additional Info   SUPPLIER Part Number  SM002
InvoiceNo  20217244565  | DocDate   7/2/2021 8:17:35 AM  | Currency Code  ZWL  | Customer Number   PR41952825179   |Reference    40701  | SubTotal   8000     |total   $8000  | SalesName   Praz Online Portal    Additional Info   SUPPLIER Part Number  GS006
InvoiceNo  20217244564  | DocDate   7/2/2021 8:05:10 AM  | Currency Code  ZWL  | Customer Number   PR97174717179   |Reference    40699  | SubTotal   8000     |total   $8000  | SalesName   Praz Online Portal    Additional Info   SUPPLIER Part Number  SC006
InvoiceNo  20217244561  | DocDate   7/2/2021 7:52:11 AM  | Currency Code  ZWL  | Customer Number   PR63212020094   |Reference    40695  | SubTotal   8000     |total   $8000  | SalesName   Praz Online Portal    Additional Info   SUPPLIER Part Number  GC009
InvoiceNo  202162544264  | DocDate   7/2/2021 7:40:07 AM  | Currency Code  ZWL  | Customer Number   PR68019919411   |Reference    40350  | SubTotal   8000     |total   $8000  | SalesName   Praz Online Portal    Additional Info   SUPPLIER Part Number  GM003
InvoiceNo  20217244559  | DocDate   7/2/2021 7:39:47 AM  | Currency Code  ZWL  | Customer Number   PR60460827001   |Reference    40693  | SubTotal   8000     |total   $8000  | SalesName   Praz Online Portal    Additional Info   SUPPLIER Part Number  SM001
InvoiceNo  202162844355  | DocDate   7/2/2021 7:11:00 AM  | Currency Code  ZWL  | Customer Number   PR91241626751   |Reference    40452  | SubTotal   8000     |total   $8000  | SalesName   Praz Online Portal    Additional Info   SUPPLIER Part Number  GG003
InvoiceNo  202162844341  | DocDate   7/2/2021 7:04:13 AM  | Currency Code  ZWL  | Customer Number   PR7414326897   |Reference    40438  | SubTotal   8000     |total   $8000  | SalesName   Praz Online Portal    Additional Info   SUPPLIER Part Number  GM004
InvoiceNo  20217144538  | DocDate   7/2/2021 7:02:03 AM  | Currency Code  ZWL  | Customer Number   PR16899118843   |Reference    40669  | SubTotal   8000     |total   $8000  | SalesName   Praz Online Portal    Additional Info   SUPPLIER Part Number  GM003
InvoiceNo  20217144551  | DocDate   7/2/2021 6:54:45 AM  | Currency Code  ZWL  | Customer Number   PR2461814898   |Reference    40685  | SubTotal   8000     |total   $8000  | SalesName   Praz Online Portal    Additional Info   SUPPLIER Part Number  GT002
InvoiceNo  20217144544  | DocDate   7/2/2021 6:21:23 AM  | Currency Code  ZWL  | Customer Number   PR1117525661   |Reference    40678  | SubTotal   8000     |total   $8000  | SalesName   Praz Online Portal    Additional Info   SUPPLIER Part Number  ST002
InvoiceNo  20217244553  | DocDate   7/2/2021 5:55:40 AM  | Currency Code  ZWL  | Customer Number   PR6407144737   |Reference    40687  | SubTotal   8000     |total   $8000  | SalesName   Praz Online Portal    Additional Info   SUPPLIER Part Number  GA001
InvoiceNo  202162143919  | DocDate   7/2/2021 5:31:16 AM  | Currency Code  ZWL  | Customer Number   PR41133426720   |Reference    40009  | SubTotal   8000     |total   $8000  | SalesName   Praz Online Portal    Additional Info   SUPPLIER Part Number  GM003
InvoiceNo  202163044460  | DocDate   7/2/2021 4:59:52 AM  | Currency Code  ZWL  | Customer Number   PR41456326823   |Reference    40574  | SubTotal   8000     |total   $8000  | SalesName   Praz Online Portal    Additional Info   SUPPLIER Part Number  SS001
InvoiceNo  20217144545  | DocDate   7/2/2021 4:36:53 AM  | Currency Code  ZWL  | Customer Number   PR16138312724   |Reference    40679  | SubTotal   8000     |total   $8000  | SalesName   Praz Online Portal    Additional Info   SUPPLIER Part Number  GT002
InvoiceNo  202162844331  | DocDate   7/2/2021 12:11:50 AM  | Currency Code  ZWL  | Customer Number   PR343389902   |Reference    40429  | SubTotal   8000     |total   $8000  | SalesName   Praz Online Portal    Additional Info   SUPPLIER Part Number  GT002
InvoiceNo  20217144550  | DocDate   7/1/2021 10:11:00 PM  | Currency Code  ZWL  | Customer Number   PR4955143761   |Reference    40684  | SubTotal   8000     |total   $8000  | SalesName   Praz Online Portal    Additional Info   SUPPLIER Part Number  SM004
InvoiceNo  20217144547  | DocDate   7/1/2021 8:10:11 PM  | Currency Code  ZWL  | Customer Number   PR7388426971   |Reference    40681  | SubTotal   8000     |total   $8000  | SalesName   Praz Online Portal    Additional Info   SUPPLIER Part Number  SH004
InvoiceNo  20217144525  | DocDate   7/1/2021 7:13:12 PM  | Currency Code  ZWL  | Customer Number   PR8034348996   |Reference    40655  | SubTotal   8000     |total   $8000  | SalesName   Praz Online Portal    Additional Info   SUPPLIER Part Number  GC006
InvoiceNo  2021122621  | DocDate   7/1/2021 7:12:03 PM  | Currency Code  ZWL  | Customer Number   PR89039911982   |Reference    39200  | SubTotal   8000     |total   $8000  | SalesName   Praz Online Portal    Additional Info   SUPPLIER Part Number  SZ005
InvoiceNo  20217144542  | DocDate   7/1/2021 7:01:24 PM  | Currency Code  ZWL  | Customer Number   PR86272126763   |Reference    40674  | SubTotal   8000     |total   $8000  | SalesName   Praz Online Portal    Additional Info   SUPPLIER Part Number  SB005
InvoiceNo  202162844352  | DocDate   7/1/2021 6:56:15 PM  | Currency Code  ZWL  | Customer Number   PR90827014592   |Reference    40447  | SubTotal   8000     |total   $8000  | SalesName   Praz Online Portal    Additional Info   SUPPLIER Part Number  GP004B
InvoiceNo  2021126913  | DocDate   7/1/2021 5:48:42 PM  | Currency Code  ZWL  | Customer Number   PR292403882   |Reference    23324  | SubTotal   8000     |total   $8000  | SalesName   Praz Online Portal    Additional Info   SUPPLIER Part Number  SP003
InvoiceNo  20217144534  | DocDate   7/1/2021 4:44:47 PM  | Currency Code  ZWL  | Customer Number   PR94973626149   |Reference    40665  | SubTotal   8000     |total   $8000  | SalesName   Praz Online Portal    Additional Info   SUPPLIER Part Number  GA001
InvoiceNo  20217144535  | DocDate   7/1/2021 3:46:50 PM  | Currency Code  ZWL  | Customer Number   PR23779427017   |Reference    40666  | SubTotal   8000     |total   $8000  | SalesName   Praz Online Portal    Additional Info   SUPPLIER Part Number  SM003
InvoiceNo  202121831802  | DocDate   7/1/2021 3:43:17 PM  | Currency Code  ZWL  | Customer Number   PR6486449888   |Reference    40625  | SubTotal   8000     |total   $8000  | SalesName   Praz Online Portal    Additional Info   SUPPLIER Part Number  SS002
InvoiceNo  202162544253  | DocDate   7/1/2021 3:24:11 PM  | Currency Code  ZWL  | Customer Number   PR50174026841   |Reference    40338  | SubTotal   8000     |total   $8000  | SalesName   Praz Online Portal    Additional Info   SUPPLIER Part Number  SM001
InvoiceNo  20217144517  | DocDate   7/1/2021 2:59:06 PM  | Currency Code  ZWL  | Customer Number   PR3118236981   |Reference    40644  | SubTotal   8000     |total   $8000  | SalesName   Praz Online Portal    Additional Info   SUPPLIER Part Number  SR001
InvoiceNo  202163044456  | DocDate   7/1/2021 2:28:34 PM  | Currency Code  ZWL  | Customer Number   PR79042626873   |Reference    40569  | SubTotal   8000     |total   $8000  | SalesName   Praz Online Portal    Additional Info   SUPPLIER Part Number  SC006
InvoiceNo  202161643515  | DocDate   7/1/2021 2:20:55 PM  | Currency Code  ZWL  | Customer Number   PR7564787930   |Reference    39611  | SubTotal   8000     |total   $8000  | SalesName   Praz Online Portal    Additional Info   SUPPLIER Part Number  GC006
InvoiceNo  20217144532  | DocDate   7/1/2021 2:09:50 PM  | Currency Code  ZWL  | Customer Number   PR22819317453   |Reference    40663  | SubTotal   8000     |total   $8000  | SalesName   Praz Online Portal    Additional Info   SUPPLIER Part Number  GC002
InvoiceNo  20201220894  | DocDate   7/1/2021 1:51:24 PM  | Currency Code  ZWL  | Customer Number   PR22819317453   |Reference    16072  | SubTotal   8000     |total   $8000  | SalesName   Praz Online Portal    Additional Info   SUPPLIER Part Number  GT002
InvoiceNo  202162944423  | DocDate   7/1/2021 1:32:03 PM  | Currency Code  ZWL  | Customer Number   PR55405726943   |Reference    40527  | SubTotal   8000     |total   $8000  | SalesName   Praz Online Portal    Additional Info   SUPPLIER Part Number  SB006
InvoiceNo  20216442718  | DocDate   7/1/2021 1:19:38 PM  | Currency Code  ZWL  | Customer Number   PR7009022906   |Reference    38762  | SubTotal   8000     |total   $8000  | SalesName   Praz Online Portal    Additional Info   SUPPLIER Part Number  SC006
InvoiceNo  202121531061  | DocDate   7/1/2021 1:06:06 PM  | Currency Code  ZWL  | Customer Number   PR3850002968   |Reference    27136  | SubTotal   8000     |total   $8000  | SalesName   Praz Online Portal    Additional Info   SUPPLIER Part Number  SC006
InvoiceNo  2021123538  | DocDate   7/1/2021 1:05:01 PM  | Currency Code  ZWL  | Customer Number   PR30851920518   |Reference    19991  | SubTotal   8000     |total   $8000  | SalesName   Praz Online Portal    Additional Info   SUPPLIER Part Number  SC006
InvoiceNo  20217144524  | DocDate   7/1/2021 12:04:20 PM  | Currency Code  ZWL  | Customer Number   PR1201559909   |Reference    40654  | SubTotal   8000     |total   $8000  | SalesName   Praz Online Portal    Additional Info   SUPPLIER Part Number  GP005
InvoiceNo  20217144523  | DocDate   7/1/2021 12:01:14 PM  | Currency Code  ZWL  | Customer Number   PR3639462729   |Reference    40652  | SubTotal   8000     |total   $8000  | SalesName   Praz Online Portal    Additional Info   SUPPLIER Part Number  SB006
InvoiceNo  20217144520  | DocDate   7/1/2021 11:23:23 AM  | Currency Code  ZWL  | Customer Number   PR89073121962   |Reference    40648  | SubTotal   8000     |total   $8000  | SalesName   Praz Online Portal    Additional Info   SUPPLIER Part Number  GC003
InvoiceNo  202163044491  | DocDate   7/1/2021 11:09:26 AM  | Currency Code  ZWL  | Customer Number   PR10294726961   |Reference    40611  | SubTotal   16000     |total   $16000  | SalesName   Praz Online Portal    Additional Info   SUPPLIER Part Number  GC007
InvoiceNo  20217144513  | DocDate   7/1/2021 10:11:55 AM  | Currency Code  ZWL  | Customer Number   PR38830411013   |Reference    40640  | SubTotal   8000     |total   $8000  | SalesName   Praz Online Portal    Additional Info   SUPPLIER Part Number  GP005
InvoiceNo  20217144512  | DocDate   7/1/2021 10:06:56 AM  | Currency Code  ZWL  | Customer Number   PR71935626966   |Reference    40639  | SubTotal   8000     |total   $8000  | SalesName   Praz Online Portal    Additional Info   SUPPLIER Part Number  GC003
InvoiceNo  20217144514  | DocDate   7/1/2021 10:05:44 AM  | Currency Code  ZWL  | Customer Number   PR46575423443   |Reference    40641  | SubTotal   8000     |total   $8000  | SalesName   Praz Online Portal    Additional Info   SUPPLIER Part Number  SB005
InvoiceNo  202133137016  | DocDate   7/1/2021 9:37:25 AM  | Currency Code  ZWL  | Customer Number   PR34473822048   |Reference    33001  | SubTotal   8000     |total   $8000  | SalesName   Praz Online Portal    Additional Info   SUPPLIER Part Number  GF002
InvoiceNo  20217144509  | DocDate   7/1/2021 9:27:58 AM  | Currency Code  ZWL  | Customer Number   PR3118236981   |Reference    40636  | SubTotal   8000     |total   $8000  | SalesName   Praz Online Portal    Additional Info   SUPPLIER Part Number  SD002
InvoiceNo  202162444198  | DocDate   7/1/2021 9:19:26 AM  | Currency Code  ZWL  | Customer Number   PR4039334316   |Reference    40285  | SubTotal   8000     |total   $8000  | SalesName   Praz Online Portal    Additional Info   SUPPLIER Part Number  GZ004
InvoiceNo  20216342592  | DocDate   7/1/2021 9:14:35 AM  | Currency Code  ZWL  | Customer Number   PR12743025761   |Reference    38649  | SubTotal   8000     |total   $8000  | SalesName   Praz Online Portal    Additional Info   SUPPLIER Part Number  GS006
InvoiceNo  20217144506  | DocDate   7/1/2021 9:12:38 AM  | Currency Code  ZWL  | Customer Number   PR61421326994   |Reference    40630  | SubTotal   8000     |total   $8000  | SalesName   Praz Online Portal    Additional Info   SUPPLIER Part Number  SP006
InvoiceNo  20217144502  | DocDate   7/1/2021 9:12:37 AM  | Currency Code  ZWL  | Customer Number   PR24164914257   |Reference    40626  | SubTotal   8000     |total   $8000  | SalesName   Praz Online Portal    Additional Info   SUPPLIER Part Number  GE001
InvoiceNo  20217144503  | DocDate   7/1/2021 8:58:52 AM  | Currency Code  ZWL  | Customer Number   PR88263925882   |Reference    40627  | SubTotal   8000     |total   $8000  | SalesName   Praz Online Portal    Additional Info   SUPPLIER Part Number  GC007
InvoiceNo  20217144500  | DocDate   7/1/2021 8:00:49 AM  | Currency Code  ZWL  | Customer Number   PR61421326994   |Reference    40623  | SubTotal   8000     |total   $8000  | SalesName   Praz Online Portal    Additional Info   SUPPLIER Part Number  GT002
InvoiceNo  2021123850  | DocDate   7/1/2021 7:55:11 AM  | Currency Code  ZWL  | Customer Number   PR77120220595   |Reference    20307  | SubTotal   8000     |total   $8000  | SalesName   Praz Online Portal    Additional Info   SUPPLIER Part Number  GP004B
InvoiceNo  202162444123  | DocDate   7/1/2021 7:35:06 AM  | Currency Code  ZWL  | Customer Number   PR639891811   |Reference    40217  | SubTotal   8000     |total   $8000  | SalesName   Praz Online Portal    Additional Info   SUPPLIER Part Number  GH001
InvoiceNo  202162344068  | DocDate   7/1/2021 7:28:19 AM  | Currency Code  ZWL  | Customer Number   PR84157426781   |Reference    40162  | SubTotal   8000     |total   $8000  | SalesName   Praz Online Portal    Additional Info   SUPPLIER Part Number  GM004
InvoiceNo  202162944405  | DocDate   7/1/2021 7:23:14 AM  | Currency Code  ZWL  | Customer Number   PR79809917855   |Reference    40508  | SubTotal   8000     |total   $8000  | SalesName   Praz Online Portal    Additional Info   SUPPLIER Part Number  SB004
InvoiceNo  20217144494  | DocDate   7/1/2021 6:56:33 AM  | Currency Code  ZWL  | Customer Number   PR71784011184   |Reference    40616  | SubTotal   8000     |total   $8000  | SalesName   Praz Online Portal    Additional Info   SUPPLIER Part Number  SB005
InvoiceNo  20217144493  | DocDate   7/1/2021 4:48:34 AM  | Currency Code  ZWL  | Customer Number   PR50852015881   |Reference    40614  | SubTotal   8000     |total   $8000  | SalesName   Praz Online Portal    Addit
Invoices Entry :12:17:51 PM Wednesday, July 28, 2021
=====================================================================Invoices=====================================================================================
InvoiceNo  202172045621  | DocDate   7/28/2021 8:59:19 AM  | Currency Code  ZWL  | Customer Number   PR57502427395   |Reference    41635  | SubTotal   8000     |total   $8000  | SalesName   Praz Online Portal    Additional Info   SUPPLIER Part Number  SC006
InvoiceNo  202172846429  | DocDate   7/28/2021 8:50:46 AM  | Currency Code  ZWL  | Customer Number   PR88372318432   |Reference    42162  | SubTotal   8000     |total   $8000  | SalesName   Praz Online Portal    Additional Info   SUPPLIER Part Number  GS006
InvoiceNo  202172846414  | DocDate   7/28/2021 8:46:28 AM  | Currency Code  ZWL  | Customer Number   PR53593626988   |Reference    42147  | SubTotal   8000     |total   $8000  | SalesName   Praz Online Portal    Additional Info   SUPPLIER Part Number  SP002
InvoiceNo  202172846427  | DocDate   7/28/2021 8:43:10 AM  | Currency Code  ZWL  | Customer Number   PR72341715967   |Reference    42161  | SubTotal   8000     |total   $8000  | SalesName   Praz Online Portal    Additional Info   SUPPLIER Part Number  SC006
InvoiceNo  202172846424  | DocDate   7/28/2021 8:42:23 AM  | Currency Code  ZWL  | Customer Number   PR32583627658   |Reference    42159  | SubTotal   8000     |total   $8000  | SalesName   Praz Online Portal    Additional Info   SUPPLIER Part Number  SL003
InvoiceNo  202172846423  | DocDate   7/28/2021 8:30:51 AM  | Currency Code  ZWL  | Customer Number   PR31529615425   |Reference    42158  | SubTotal   8000     |total   $8000  | SalesName   Praz Online Portal    Additional Info   SUPPLIER Part Number  ST002
InvoiceNo  202172846422  | DocDate   7/28/2021 8:29:41 AM  | Currency Code  ZWL  | Customer Number   PR31529615425   |Reference    42157  | SubTotal   8000     |total   $8000  | SalesName   Praz Online Portal    Additional Info   SUPPLIER Part Number  SS002
InvoiceNo  202171244955  | DocDate   7/28/2021 8:29:02 AM  | Currency Code  USD  | Customer Number   PR2911227252   |Reference    41133  | SubTotal   750     |total   $750  | SalesName   Praz Online Portal    Additional Info   SUPPLIER Part Number  GM004
InvoiceNo  202172846418  | DocDate   7/28/2021 8:28:06 AM  | Currency Code  ZWL  | Customer Number   PR5225320706   |Reference    42154  | SubTotal   8000     |total   $8000  | SalesName   Praz Online Portal    Additional Info   SUPPLIER Part Number  GS006
InvoiceNo  T2021728464098888  | DocDate   7/28/2021 8:00:17 AM  | Currency Code  ZWL  | Customer Number   PR5460628888   |Reference    781  | SubTotal   16000     |total   $16000  | SalesName   Praz Online Portal    Additional Info   CON24/2021 Part Number  SPOC
InvoiceNo  202141338132  | DocDate   7/28/2021 7:56:49 AM  | Currency Code  USD  | Customer Number   PR94954024239   |Reference    34145  | SubTotal   750     |total   $750  | SalesName   Praz Online Portal    Additional Info   SUPPLIER Part Number  ST002
InvoiceNo  T2021727463454609  | DocDate   7/28/2021 7:56:37 AM  | Currency Code  ZWL  | Customer Number   PR9684954609   |Reference    757  | SubTotal   16000     |total   $16000  | SalesName   Praz Online Portal    Additional Info   UBH/PSIP06/20 Part Number  SPOC
InvoiceNo  202172846410  | DocDate   7/28/2021 7:53:03 AM  | Currency Code  ZWL  | Customer Number   PR16008916639   |Reference    42144  | SubTotal   8000     |total   $8000  | SalesName   Praz Online Portal    Additional Info   SUPPLIER Part Number  SC007
InvoiceNo  202172846408  | DocDate   7/28/2021 7:42:42 AM  | Currency Code  ZWL  | Customer Number   PR31529615425   |Reference    42143  | SubTotal   8000     |total   $8000  | SalesName   Praz Online Portal    Additional Info   SUPPLIER Part Number  GC005
InvoiceNo  20214637456  | DocDate   7/28/2021 7:31:38 AM  | Currency Code  ZWL  | Customer Number   PR98099024076   |Reference    33447  | SubTotal   8000     |total   $8000  | SalesName   Praz Online Portal    Additional Info   SUPPLIER Part Number  SS001
InvoiceNo  202171545283  | DocDate   7/28/2021 7:28:55 AM  | Currency Code  ZWL  | Customer Number   PR71987827358   |Reference    41427  | SubTotal   8000     |total   $8000  | SalesName   Praz Online Portal    Additional Info   SUPPLIER Part Number  SC005
InvoiceNo  202172846397  | DocDate   7/28/2021 7:14:14 AM  | Currency Code  ZWL  | Customer Number   PR62440727346   |Reference    42135  | SubTotal   8000     |total   $8000  | SalesName   Praz Online Portal    Additional Info   SUPPLIER Part Number  GF004
InvoiceNo  202172846401  | DocDate   7/28/2021 7:09:34 AM  | Currency Code  ZWL  | Customer Number   PR27820427679   |Reference    42136  | SubTotal   8000     |total   $8000  | SalesName   Praz Online Portal    Additional Info   SUPPLIER Part Number  SB004
InvoiceNo  202172846402  | DocDate   7/28/2021 7:06:13 AM  | Currency Code  ZWL  | Customer Number   PR66867627695   |Reference    42137  | SubTotal   8000     |total   $8000  | SalesName   Praz Online Portal    Additional Info   SUPPLIER Part Number  GU005
InvoiceNo  T2021727463402884  | DocDate   7/28/2021 7:05:46 AM  | Currency Code  ZWL  | Customer Number   PR4314382884   |Reference    756  | SubTotal   16000     |total   $16000  | SalesName   Praz Online Portal    Additional Info   UBH/PSIP04/21 Part Number  SPOC
InvoiceNo  202141638611  | DocDate   7/28/2021 7:04:34 AM  | Currency Code  ZWL  | Customer Number   PR67494724439   |Reference    34640  | SubTotal   8000     |total   $8000  | SalesName   Praz Online Portal    Additional Info   SUPPLIER Part Number  GI001
InvoiceNo  T202172846395193  | DocDate   7/28/2021 7:02:58 AM  | Currency Code  ZWL  | Customer Number   PR358130193   |Reference    778  | SubTotal   8000     |total   $8000  | SalesName   Praz Online Portal    Additional Info   JSC/ICT01/21 Part Number  CONTRACT FEE
InvoiceNo  202172245903  | DocDate   7/28/2021 7:01:08 AM  | Currency Code  ZWL  | Customer Number   PR6888278928   |Reference    41807  | SubTotal   24000     |total   $24000  | SalesName   Praz Online Portal    Additional Info   SUPPLIER Part Number  GT002
InvoiceNo  202172346052  | DocDate   7/28/2021 6:57:23 AM  | Currency Code  ZWL  | Customer Number   PR85243627506   |Reference    41922  | SubTotal   8000     |total   $8000  | SalesName   Praz Online Portal    Additional Info   SUPPLIER Part Number  GF003
InvoiceNo  202172646234  | DocDate   7/28/2021 6:54:51 AM  | Currency Code  ZWL  | Customer Number   PR50587227633   |Reference    42033  | SubTotal   8000     |total   $8000  | SalesName   Praz Online Portal    Additional Info   SUPPLIER Part Number  GC006
InvoiceNo  T2021728463982301  | DocDate   7/28/2021 6:54:30 AM  | Currency Code  ZWL  | Customer Number   PR2179152301   |Reference    779  | SubTotal   16000     |total   $16000  | SalesName   Praz Online Portal    Additional Info   UBHPSIP04/2021 Part Number  SPOC
InvoiceNo  T20217284639916145  | DocDate   7/28/2021 6:53:02 AM  | Currency Code  ZWL  | Customer Number   PR37439515780   |Reference    780  | SubTotal   16000     |total   $16000  | SalesName   Praz Online Portal    Additional Info   CBTI 10-2021 Part Number  SPOC
InvoiceNo  202171244973  | DocDate   7/28/2021 6:41:17 AM  | Currency Code  ZWL  | Customer Number   PR88575927255   |Reference    41155  | SubTotal   8000     |total   $8000  | SalesName   Praz Online Portal    Additional Info   SUPPLIER Part Number  GP004
InvoiceNo  202172846396  | DocDate   7/28/2021 6:28:34 AM  | Currency Code  ZWL  | Customer Number   PR7509209528   |Reference    42134  | SubTotal   8000     |total   $8000  | SalesName   Praz Online Portal    Additional Info   SUPPLIER Part Number  GM003
InvoiceNo  202172846393  | DocDate   7/28/2021 5:46:59 AM  | Currency Code  ZWL  | Customer Number   PR64981927617   |Reference    42133  | SubTotal   8000     |total   $8000  | SalesName   Praz Online Portal    Additional Info   SUPPLIER Part Number  SB005
InvoiceNo  T2021727463896038  | DocDate   7/28/2021 5:10:31 AM  | Currency Code  ZWL  | Customer Number   PR5241906038   |Reference    777  | SubTotal   16000     |total   $16000  | SalesName   Praz Online Portal    Additional Info   UBH/PSIP04/21 Part Number  SPOC
InvoiceNo  T2021727463886038  | DocDate   7/28/2021 5:09:48 AM  | Currency Code  ZWL  | Customer Number   PR5241906038   |Reference    776  | SubTotal   16000     |total   $16000  | SalesName   Praz Online Portal    Additional Info   UBH/PSIP06/2021 Part Number  SPOC
InvoiceNo  202172746384  | DocDate   7/27/2021 7:14:50 PM  | Currency Code  ZWL  | Customer Number   PR10375027621   |Reference    42127  | SubTotal   8000     |total   $8000  | SalesName   Praz Online Portal    Additional Info   SUPPLIER Part Number  SB005
InvoiceNo  202172746387  | DocDate   7/27/2021 7:10:34 PM  | Currency Code  ZWL  | Customer Number   PR44814127687   |Reference    42130  | SubTotal   8000     |total   $8000  | SalesName   Praz Online Portal    Additional Info   SUPPLIER Part Number  SM002
InvoiceNo  202172746293  | DocDate   7/27/2021 6:45:14 PM  | Currency Code  ZWL  | Customer Number   PR136324613   |Reference    42063  | SubTotal   8000     |total   $8000  | SalesName   Praz Online Portal    Additional Info   SUPPLIER Part Number  SP004
InvoiceNo  202171945512  | DocDate   7/27/2021 6:09:24 PM  | Currency Code  ZWL  | Customer Number   PR20040927388   |Reference    41583  | SubTotal   8000     |total   $8000  | SalesName   Praz Online Portal    Additional Info   SUPPLIER Part Number  SC006
InvoiceNo  202172646271  | DocDate   7/27/2021 4:45:02 PM  | Currency Code  ZWL  | Customer Number   PR31694527340   |Reference    42054  | SubTotal   8000     |total   $8000  | SalesName   Praz Online Portal    Additional Info   SUPPLIER Part Number  SC006
InvoiceNo  202172746382  | DocDate   7/27/2021 4:16:37 PM  | Currency Code  ZWL  | Customer Number   PR33134427376   |Reference    42125  | SubTotal   8000     |total   $8000  | SalesName   Praz Online Portal    Additional Info   SUPPLIER Part Number  SB004
InvoiceNo  202161943799  | DocDate   7/27/2021 3:39:27 PM  | Currency Code  USD  | Customer Number   PR43987626678   |Reference    39887  | SubTotal   100     |total   $100  | SalesName   Praz Online Portal    Additional Info   SUPPLIER Part Number  GV002
